,task,/data/kankan.lan/repos/psy101/data/Qwen1.5B-R1-Distill-4096
0,badham2017deficits,0.597853422164917
1,bahrami2020four,0.8326571583747864
2,enkavi2019adaptivenback,0.5279074907302856
3,enkavi2019digitspan,0.7035200595855713
4,enkavi2019gonogo,0.0006553046405315399
5,enkavi2019recentprobes,0.296848326921463
6,feng2021dynamics,0.44913455843925476
7,flesch2018comparing,0.5812227129936218
8,frey2017cct,0.26725825667381287
9,frey2017risk,0.07718659937381744
10,gershman2018deconstructing,0.3762253522872925
11,gershman2020reward,0.6583999395370483
12,hebart2023things,1.104123830795288
13,hilbig2014generalized,0.4122520983219147
14,kool2016when,0.6087606549263
15,kool2017cost,0.6258789896965027
16,lefebvre2017behavioural,0.5295292139053345
17,levering2020revisiting,0.5746316909790039
18,ludwig2023human,0.6127131581306458
19,peterson2021using,0.4893913269042969
20,plonsky2018when,0.39927855134010315
21,ruggeri2022globalizability,0.5404006838798523
22,sadeghiyeh2020temporal,0.6428347229957581
23,schulz2020finding,0.7879598140716553
24,somerville2017charting,0.44730833172798157
25,speekenbrink2008learning,0.5789273977279663
26,steingroever2015data,1.0140869617462158
27,tomov2020discovery,1.5937330722808838
28,tomov2021multitask,0.7257547378540039
29,waltz2020differential,0.23594260215759277
30,wilson2014humans,0.5476747155189514
31,wu2023chunking,0.20747825503349304
32,wulff2018description,0.6983155012130737
33,wulff2018sampling,0.5558306574821472
34,xiong2023neural,0.4247419834136963
35,zorowitz2023data,0.5791347026824951
